codigo,fruto,nivel_emocional,descricao_estado_da_alma,diagnostico_emocional,exemplo_vida_familiar,exemplo_vida_social,exemplo_vida_profissional,exercicio_de_elevacao
MA11,Fúria Descontrolada,"🌪️ Fúria Descontrolada (você perde o controle com frequência, mesmo contra quem ama)",Sua raiva escapa sem freio. Há fúria inconsciente que toma conta.,Perda de controle emocional com explosões frequentes.,Gritos e descontrole em discussões.,Discussões intensas por motivos pequenos.,Ambientes de medo ao redor.,Respiração 4-7-8 com água na boca (sem engolir) antes de responder agressivamente.
MA10,Violência Verbal,"🗯️ Violência Verbal (suas palavras ferem ou diminuem o outro, mesmo que não fisicamente)",Suas palavras são armas. A linguagem se tornou um canal de hostilidade.,Expressão verbal agressiva como defesa.,Ofensas ou sarcasmo constante.,Irrita-se facilmente e responde com ironia.,Críticas destrutivas com tom superior.,Diário de autocorreção: reescrever 3 frases ditas com versão gentil.
MA09,Agressividade Latente,💢 Agressividade Latente (você reage com dureza ou impaciência quando contrariado),"Você reprime sua agressividade, mas ela pulsa em olhares e gestos.",Agressividade sutil e contida em tensão interna.,Silêncios carregados de raiva.,Postura de ameaça velada.,"Ambiente tenso sem palavras, apenas atitudes.",Prática corporal leve: alongamento com respiração consciente ao acordar.
MA08,Resistência Ativa,"🪞 Resistência Ativa (você se defende constantemente, como se tudo fosse ameaça)",Você resiste a ceder ou a suavizar. Sua energia luta por autoafirmação.,Defensividade contínua e exaustiva.,Dificuldade em pedir perdão ou ceder.,Insiste em ter razão nas discussões.,Não aceita sugestões facilmente.,"Escrever 3 situações onde ceder não foi fraqueza, mas sabedoria."
MA07,Irritação Contida,"🧊 Irritação Contida (há tensão dentro de você, mesmo quando tenta manter o controle externo)","Você segura a irritação, mas ela transparece em pequenas atitudes.",Irritação acumulada e não expressa.,Respostas secas e fechamentos.,Falta de paciência com o ritmo alheio.,Cumprimentos frios e desinteresse.,"Prática da gentileza forçada por 3 dias — sorrir, cumprimentar e escutar mesmo sem vontade."
MA06,Tolerância Cansada,"😣 Tolerância Cansada (você aguenta muito, mas por esgotamento — não por sabedoria)",Você tolera por obrigação. Sua energia está esgotada de insistir no controle.,Exaustão emocional com desgaste de vínculo.,"Presente fisicamente, mas ausente emocionalmente.","Finge que está tudo bem, mas se cala com dor.","Faz o necessário, sem afeto.","1 pausa diária com chá, música leve e olhar para o céu por 10 minutos."
MA05,Neutralidade Emocional,"😐 Neutralidade Emocional (você evita reações intensas, mas também não se entrega com suavidade)","Você não ataca, nem acolhe. Seu campo é neutro, mas ainda não amoroso.","Zona de não-conflito, mas sem doçura.","Evita brigas, mas evita afetos também.",Presença cordial sem conexão real.,Trabalho feito com distanciamento afetivo.,"Contato com a natureza por 15 minutos: árvores, flores, vento no rosto."
MA04,Paciência Generosa,"🌬️ Paciência Generosa (você sustenta o outro com leveza, sem se tornar permissivo ou frágil)",Você pratica a paciência com coração aberto. Sua generosidade é ativa.,Paz em ação com empatia real.,Responde com calma e atenção.,Reações brandas e acolhedoras.,Flexibilidade e escuta ativa.,Enviar mensagem sincera de gratidão para alguém que tocou seu coração.
MA03,Doçura Ativa,"🍯 Doçura Ativa (sua fala e postura transmitem calma e acolhimento, mesmo em momentos críticos)","Sua doçura é viva. Ela toca, acolhe e inspira confiança.",Afeto constante com ternura ativa.,Olhar sereno e presença amorosa.,Sensação de paz onde você chega.,"Tom suave e eficiente, inspirador.",Desenhar um símbolo pessoal da mansidão e colocá-lo no ambiente de trabalho ou casa.
MA02,Mansidão Virtuosa,💖 Mansidão Virtuosa (você escolhe palavras e gestos gentis mesmo diante de agressões ou pressões),"Você vive em mansidão. É a paz firme, que não se curva à violência.","Mansidão consciente, com força interna.",Estabilidade emocional em tempos difíceis.,Mediação de conflitos com leveza.,Liderança pacificadora e firme.,Silêncio diário de 5 minutos visualizando a palavra 'paz' dentro do peito.
MA01,Serenidade Iluminada,"🌈 Serenidade Iluminada (você lida com conflitos e tensões com doçura, presença e firmeza amorosa)","Sua serenidade é sagrada. Você irradia leveza, mesmo em ambientes caóticos.",Presença iluminadora que transmite cura.,Pilar de harmonia e sensibilidade.,Ponto de equilíbrio e refúgio.,Ambientes se transformam com sua presença.,Oferecer silêncio e oração por um local ou pessoa em conflito — mesmo à distância.
AL12,Depressão,🕳️ Depressão (há escuridão interior e ausência de sentido ou vontade),"Você se encontra em profunda escuridão interior, com ausência quase total de energia vital.","Estado depressivo grave, perda de sentido e esperança.",Isolamento afetivo e falta de interesse por vínculos familiares.,Distanciamento ou desconexão com amigos e comunidade.,"Desmotivação total, faltas constantes ou abandono de tarefas.",Buscar suporte terapêutico e realizar caminhadas ao sol por 15 min diários.
AL11,Desespero,"😩 Desespero (você sente que está sem direção, esperança ou perspectiva)","Há uma perda de fé no amanhã, e o desespero ocupa o centro das emoções.",Desorganização emocional por ausência de perspectiva.,"Crises emocionais frequentes, sensação de não ser compreendido.",Evita interações por medo ou sensação de inadequação.,Sensação de estar preso em ciclos sem propósito.,"Escrita diária de 3 coisas boas que já aconteceram, por mais simples que sejam."
AL10,Angústia,"😰 Angústia (há um aperto no peito, confusão ou opressão emocional)","Você sente aperto no peito e desconforto interior, com emoções reprimidas ou confusas.",Sufocamento emocional e tensão interna persistente.,Sensação de incompreensão ou não pertencimento.,"Medo de exposição ou julgamentos, retraimento.",Insegurança e bloqueio criativo constantes.,Exercício de respiração com liberação vocal suave (suspiros guiados).
AL09,Tristeza,"😢 Tristeza (há uma sensação de perda, afastamento ou peso emocional)","Tristeza constante acompanha seus dias, com leve sensação de vazio.",Campo emocional permeado por perdas não integradas.,Choros silenciosos ou desânimo perante os vínculos.,Dificuldade de demonstrar entusiasmo em grupos.,"Cumprimento mecânico de tarefas, sem brilho.",Ouvir músicas com mensagens esperançosas e melodia suave diariamente.
AL08,Desânimo,"😞 Desânimo (a motivação está baixa, e os desafios parecem maiores)",Você sente que tudo está pesado. Os desafios parecem maiores que as forças.,Fadiga emocional e mental constante.,Impaciência e afastamento silencioso.,"Postura desinteressada, sem desejo de partilha.","Produtividade oscilante, procrastinação frequente.","Banhos energéticos com ervas (ex: alecrim, hortelã) 2x por semana."
AL07,Melancolia,"🌧️ Melancolia (há um fundo de nostalgia, saudade ou leve tristeza)",Há uma névoa emocional em você. As emoções estão embotadas ou distantes.,"Estado emocional suspenso, introspectivo e reflexivo.","Presença silenciosa, pouca troca afetiva.",Tendência a se isolar mesmo em ambientes amigáveis.,Trabalho realizado com leve desconexão emocional.,Desenho intuitivo com música instrumental por 10 minutos.
AL06,Neutralidade / Apatia,😐 Neutralidade / Apatia (você sente que as emoções estão ausentes ou planas),Você não sente grandes dores nem alegrias. Está em um campo neutro ou apático.,Estabilidade emocional sem brilho ou paixão.,"Relacionamentos mornos, sem expressões significativas.",Presença sem envolvimento ou contribuição ativa.,"Foco excessivo na lógica, falta de empolgação.","Contato com aromas cítricos e toque em superfícies naturais (terra, madeira)."
AL05,Serenidade,"😌 Serenidade (sua paz é leve, silenciosa e estável)","Você reencontra momentos de serenidade e leveza, mesmo que esporádicos.",Paz emocional moderada e retomada do equilíbrio interno.,Convívio pacífico e respeitoso com familiares.,"Conversas suaves, sensação de acolhimento.",Boa fluidez nas tarefas e convivência saudável.,Prática de mindfulness com foco nos sons ambientes.
AL04,Satisfação,🙂 Satisfação (você reconhece avanços e se sente realizado com o agora),Você sente contentamento pelo simples. Começa a se nutrir com o presente.,Alegria sutil e estável.,Risos espontâneos e conexão afetiva.,Presença positiva em ambientes descontraídos.,Entusiasmo e criatividade ressurgindo.,Registro fotográfico de cenas simples que trazem bem-estar.
AL03,Felicidade,"😄 Felicidade (você se sente em sintonia com o que vive, com ânimo e paz)","Você vibra com a vida, sente leveza e vê beleza no cotidiano.",Alegria ativa e contagiante.,Clima afetivo elevado em casa.,Protagonismo natural em grupos e conexões.,Alta produtividade com leveza e harmonia.,Roda de gratidão ou partilha afetiva semanal.
AL02,Alegria,"😊 Alegria (há contentamento leve, real e constante em seu dia a dia)","Você vive em estado de felicidade natural, mesmo com desafios.",Alegria consistente com raízes profundas.,Presença que inspira e eleva.,Fonte de motivação e alegria para os outros.,Liderança positiva e criativa.,Cantar ou dançar livremente como ritual de alegria pessoal.
AL01,Êxtase,"🌈 Êxtase (você sente um transbordamento de plenitude, presença e gratidão)",Seu estado é de êxtase espiritual e emocional. Amor e gratidão se fundem em você.,Estado de graça e expansão da consciência.,Transformação do ambiente pela sua vibração.,Irradia luz e atrai conexões profundas.,Referência de inspiração e propósito.,Silêncio contemplativo diário + doação de algo precioso com gratidão.
BE12,Crueldade Calculada,👿 Crueldade Calculada (você é capaz de ferir intencionalmente sem culpa ou arrependimento),"Há uma frieza estratégica, onde a crueldade é aplicada de forma consciente e racional.","Ausência intencional de compaixão, com cálculo egoico.",Manipulação emocional para obter vantagem.,Atos calculados que ferem deliberadamente.,Decisões desumanas em nome do lucro.,Meditação sobre a consequência dos próprios atos na alma do outro.
BE11,Malevolência,"🩸 Malevolência (você age movido por feridas, orgulho ou prazer na dor alheia)","O prazer em causar dano, mesmo sutil, manifesta a ausência do amor ativo.",Deleite inconsciente ou velado no sofrimento alheio.,Palavras que humilham ou ferem profundamente.,Sarcasmo constante e ironia cortante.,Sabotagens ou boicotes planejados.,Autoanálise de intenções antes de agir + visualização de reconciliação.
BE10,Malícia Leve,"🧪 Malícia Leve (suas ações carregam intenções sutis de controle, vingança ou manipulação)","Há intenção sutil de provocar incômodos, ainda que mascarada de leveza.","Malícia leve, quase imperceptível aos olhos comuns.",Brincadeiras que ferem ou expõem fragilidades.,Piadas com fundo de crítica constante.,Passividade agressiva no dia a dia.,Auto-observação: escrever 3 falas que poderiam ser mais compassivas.
BE09,Ressentimento,💢 Ressentimento (você carrega mágoas que bloqueiam sua expressão de bondade),"O ressentimento se mistura à doçura, bloqueando a gentileza plena.",Mágoas antigas que impedem a entrega emocional.,Ajuda acompanhada de cobranças veladas.,Relacionamentos com energia de dívida afetiva.,Trabalho feito com amargura ou falta de reconhecimento.,Diário do perdão: anotar e soltar 1 ressentimento por dia.
BE08,Dureza de Coração,🗯️ Dureza de Coração (você tem dificuldade de sentir empatia ou se conectar afetivamente),Você se tornou rígido. O amor não alcança o outro por barreiras emocionais.,Insensibilidade em nome da proteção ou moral.,Falta de escuta empática com filhos ou cônjuge.,Rigidez em aceitar diferenças de vida.,"Frieza em decisões e falas, mesmo quando justas.",Prática semanal de escuta silenciosa sem interrupções por 10 minutos.
BE07,Indiferença Egoísta,🪨 Indiferença Egoísta (você se importa mais com seus interesses do que com os outros),Você se protege evitando se envolver. Sua empatia se retraiu.,Fechamento emocional por medo de se doar.,Ausência em momentos afetivos importantes.,Indiferença perante a dor alheia.,Trabalho feito sem calor humano ou empatia.,Escolher alguém por semana para perguntar sinceramente: 'Como você está?'
BE06,Frieza Emocional,❄️ Frieza Emocional (você age com distância ou insensibilidade em muitas situações),Suas emoções estão adormecidas. Há distanciamento interno e afetivo.,Frieza como padrão de autoproteção.,Falta de demonstrações de carinho.,Respostas mecânicas e frias.,Neutralidade mesmo em situações humanas.,Banhos de sol diários + contato visual profundo com alguém confiável.
BE05,Neutralidade Afetiva,"😐 Neutralidade Afetiva (você age de forma correta, mas sem envolvimento emocional)","Você se encontra num estado de equilíbrio afetivo, mas ainda sem doação ativa.","Presença neutra, sem expressão amorosa ou hostilidade.","Convivência cordial, mas distante.","Interações formais, sem empatia profunda.","Relacionamentos profissionais respeitosos, porém frios.",Colocar intenção de bem-estar em pequenos gestos diários.
BE04,Gentileza Essencial,"🌱 Gentileza Essencial (suas ações carregam cuidado e presença, sem esforço)","Sua gentileza é natural. Ela nasce sem esforço, como expressão da alma.",Bondade espontânea e sincera.,Palavras suaves e cuidado com os detalhes.,Presença leve e agradável.,Ajuda generosa sem esperar retorno.,"Oferecer ajuda prática onde vê uma necessidade, com sorriso e leveza."
BE03,Compaixão Ativa,🌷 Compaixão Ativa (você sente empatia real e transforma isso em gestos concretos),Você se move por compaixão. Sente e acolhe a dor do outro como sua.,Amor ativo em forma de empatia profunda.,Apoio emocional genuíno sem cobrança.,Atenção plena à dor dos amigos.,Escuta profunda e ação para aliviar sofrimentos.,Exercício da compaixão: 5 minutos por dia visualizando alguém sendo curado pelo seu amor.
BE02,Benignidade Pura,🌸 Benignidade Pura (você oferece o melhor de si com leveza e intenção sincera),"Sua bondade é pura, sem segunda intenção. Você é presença curadora.",Amor incondicional em ação compassiva.,"Cuidado com todos, sem distinção.",Inspiração por atitudes discretas de bondade.,Clima de amor e respeito em torno de sua presença.,Praticar 1 ato anônimo de gentileza todos os dias por 7 dias.
BE01,Graça Divina,"✨ Graça Divina (você age com doçura, generosidade e compaixão mesmo diante da ingratidão)",Você se tornou canal direto da graça divina. Sua alma oferta sem esforço.,Benignidade como natureza espiritual manifesta.,É exemplo e refúgio emocional no lar.,Pessoas se sentem curadas só por te ouvir.,Presença que eleva e inspira ações nobres.,Silêncio interior diário + doação generosa e anônima com gratidão.
BO12,Maldade Absoluta,"💀 Maldade Absoluta (você sente desprezo ou prazer em fazer o mal, mesmo conscientemente)",Você opera a partir de princípios que negam o bem e celebram o dano ao outro.,Desconexão total com a ética do amor.,Atos de opressão intencional ou destrutividade.,Comportamentos sádicos ou antissociais.,Decisões que intencionalmente causam sofrimento ou exploração.,Autoquestionamento profundo: 'Quem fui ferido para ferir?' seguido de silêncio orante diário.
BO11,Perversidade,🔥 Perversidade (você tem impulsos ou comportamentos que ferem o outro com clareza),"Você expressa atitudes perversas, mesmo que mascaradas de racionalidade ou justiça.","Malícia racionalizada, distorção do bem.",Distorção dos fatos para manipular a verdade.,Influência negativa e perversa sobre os outros.,Promove divisões e caos para obter poder.,"Visualizar diariamente uma cena de compaixão, tentando se colocar no lugar do outro."
BO10,Malícia,"😈 Malícia (você age intencionalmente de forma a prejudicar, ainda que discretamente)","Você usa a malícia para obter vantagem, mesmo às custas da integridade do outro.",Predominância do interesse próprio acima do bem coletivo.,Utiliza sentimentos para manipular decisões familiares.,Mentiras convenientes e egoísmo velado.,Comportamento dissimulado visando benefício pessoal.,Prática de sinceridade radical em pequenas escolhas.
BO09,Sadismo,🔪 Sadismo (você sente certo prazer ou justificativa em causar dor ou punição),Você sente prazer ou indiferença ao causar dor. Há gozo no desequilíbrio alheio.,"Sadismo psicológico ou emocional, mesmo que inconsciente.",Comentários que machucam propositalmente.,Rir da desgraça alheia.,Humilhações veladas para manter controle.,Assistir histórias de superação e refletir sobre o impacto da dor no outro.
BO08,Crueldade,"🧷 Crueldade (você age com frieza ou rigidez, mesmo que isso machuque alguém)",Você se tornou insensível à dor dos outros. A crueldade virou um recurso de proteção ou poder.,Blindagem emocional transformada em dureza.,Indiferença com quem sofre ou falha.,Falta de empatia com causas sociais.,Desumanização em decisões estratégicas.,Ato consciente de gentileza com alguém em vulnerabilidade.
BO07,Manipulação,"🎭 Manipulação (suas ações bondosas têm intenção oculta de ganho, controle ou aprovação)","Você age por manipulação. Usa o outro como meio, não como fim.",Relacionamentos com intenção oculta.,Cria culpa ou medo para obter favores.,Encantamento estratégico para obter vantagem.,"Controle de decisões por sedução, ameaça ou bajulação.",Prática de escuta sem intenção de resposta ou controle.
BO06,Indiferença Cruel,🧊 Indiferença Cruel (você ignora o outro mesmo vendo que ele precisa),Você se mostra indiferente às dores que presencia. O sofrimento do outro é irrelevante.,Egoísmo travestido de objetividade.,Ignora pedidos de ajuda emocional.,Finge não ver situações de injustiça.,Desconsidera impactos humanos de suas escolhas.,Escrever diariamente 1 atitude de bondade que presenciou ou realizou.
BO05,Egoísmo Leve,"😶 Egoísmo Leve (você prioriza suas necessidades, mesmo que afete levemente os outros)","Você cuida de si e dos seus, mas ainda com foco limitado ao próprio interesse.",Abertura parcial ao bem coletivo.,"Ajuda apenas os que ama, e com condição.",Atos gentis por retorno ou aparência.,"Colabora, mas com foco em mérito ou promoção.",Oferecer ajuda onde não se é visto ou reconhecido.
BO04,Neutralidade Moral,"⚖️ Neutralidade Moral (você segue regras e faz o certo, mas sem profunda entrega afetiva)","Você age com base na ética, mas ainda sem profunda empatia.",Neutralidade moral com boas intenções.,"Age corretamente, mas sem entrega emocional.",Cordialidade sem envolvimento.,"Justiça técnica, mas sem calor humano.",Prática de bondade espontânea fora da obrigação moral.
BO03,Gentileza,"🌼 Gentileza (suas atitudes são naturalmente suaves, respeitosas e acolhedoras)",Você cultiva a gentileza como forma de presença e intenção. Sua bondade é visível.,Presença gentil como escolha de vida.,Palavras suaves e ações atenciosas.,Alívio e ternura onde passa.,Ajuda e mediação com generosidade.,Desafio: realizar 5 gestos espontâneos de gentileza em 24h.
BO02,Compaixão,💖 Compaixão (você busca aliviar o sofrimento do outro com empatia prática),"Você sente a dor do outro como sua, e age para aliviar sofrimentos.",Empatia profunda com ação compassiva.,Disponível emocionalmente em crises.,Apoio em momentos difíceis sem esperar retorno.,Ações que promovem bem-estar coletivo.,Caminhada em silêncio oferecendo intenções de cura para quem encontra pelo caminho.
BO01,Santidade/Altruísmo Puro,"🕊️ Santidade / Altruísmo Puro (você age com total entrega, sem buscar retorno ou reconhecimento)",Sua bondade é luz. Você se tornou canal de altruísmo puro e inspirador.,Transcendência do ego a serviço do bem comum.,Entrega sem medida para cuidar dos seus.,"Referência de presença, generosidade e equilíbrio.",Inspira ambientes com integridade e missão.,"Ritual de entrega semanal: doar tempo, talento ou recurso com total gratidão."
CA12,Devassidão Absoluta,"💀 Devassidão Absoluta (o desejo sexual se tornou caótico, impulsivo e autodestrutivo)",Você vive imerso na satisfação dos prazeres sexuais sem limites ou consciência.,Entregue ao instinto como fuga da alma.,"Relações instáveis, ausência de vínculo afetivo.",Condutas explícitas sem respeito ao outro.,Comportamentos inapropriados ou exposição constante.,1 dia de abstinência completa de estímulos sensuais — com oração por clareza e domínio de si.
CA11,Depravação,🌫️ Depravação (você se envolve com práticas que já não respeitam limites próprios ou alheios),"Você usa a energia sexual para manipular, seduzir ou subjugar.",Desvio da sexualidade como ferramenta de dominação ou fuga.,Negligência emocional e traumas recorrentes.,Provocação e uso do corpo como poder.,Mistura vida íntima com ambiente profissional.,Banho purificador com intenções espirituais e compromisso com a contenção do olhar.
CA10,Vício Sexual,"🌀 Vício Sexual (o desejo domina sua atenção ou comportamento, causando perdas ou dependência)","A compulsão sexual domina seus pensamentos, escolhas e relacionamentos.",Dependência emocional e psíquica do prazer carnal.,Relações comprometidas por infidelidade ou obsessão.,Busca constante por excitação ou validação.,"Distração, falta de foco ou tensões recorrentes.","Meditação com respiração centrada no coração, buscando reintegração interior."
CA09,Promiscuidade Ativa,"🔥 Promiscuidade Ativa (há busca constante por múltiplos estímulos sexuais, com baixa conexão afetiva)","Você tem relações frequentes, mas sem compromisso, zelo ou propósito profundo.",Sexualidade desvinculada de afeto e espiritualidade.,Relações com dificuldade de profundidade e vínculo.,Promiscuidade percebida como liberdade.,Confusões entre vida íntima e imagem pública.,"Escrever sua história afetiva, buscando padrões e feridas que se repetem."
CA08,Hedonismo Moderado,"🍷 Hedonismo Moderado (você busca prazer com frequência, com foco mais físico do que afetivo)","Você busca prazeres com moderação, mas ainda guiado pelo hedonismo.",Sensualidade ainda como principal fonte de sentido e alegria.,"Relacionamentos frágeis, pautados por desejo físico.",Vínculos instáveis e hiperestimulados.,Busca atenção através da aparência ou charme.,1 jejum parcial de redes sociais ou conteúdos sensuais por 3 dias.
CA07,Libertinagem Consciente,"🎭 Libertinagem Consciente (você se permite experiências fora de padrões, com ou sem profundidade afetiva)","Você se permite prazeres sexuais, mas já com consciência e respeito mútuo.","Sexualidade com lucidez, ainda em fase de integração.",Busca de equilíbrio entre prazer e afeto.,Relacionamentos mais responsáveis.,Respeito aos espaços e papéis no ambiente profissional.,Exercício de escrita: quais são os limites que quero honrar em minha sexualidade?
CA06,Permissividade Leve,"🍃 Permissividade Leve (você cede ao desejo com certa frequência, mas sem culpa)",Você permite o prazer sem excessos. Sabe reconhecer quando parar.,Permissividade leve com autoconsciência.,Convívio equilibrado entre desejo e cuidado.,Relacionamentos que respeitam os limites individuais.,Convivência sem conflito entre ética e sensualidade.,"Exercício da pausa: ao sentir impulso, respirar 3x antes de agir ou responder."
CA05,Neutralidade Sexual,😐 Neutralidade Sexual (não há impulso nem desconforto — o desejo está adormecido ou em pausa),"Você se encontra em um ponto de equilíbrio sexual. Não há conflito, mas também não há sublimação.",Neutralidade emocional na vivência da sexualidade.,"Relacionamentos estáveis, mas sem aprofundamento espiritual.","Relacionamentos tranquilos, sem dependência nem compulsão.",Separação clara entre afetos e função.,Visualizar a energia sexual como luz em movimento dentro do corpo — não apenas instinto.
CA04,Contenção Racional,🧠 Contenção Racional (você consegue racionalizar e escolher com consciência quando ceder ao desejo),Você escolhe conter-se com clareza e disciplina. Sua sexualidade é orientada por propósito.,Domínio consciente dos instintos em nome de algo maior.,Escolhas com responsabilidade afetiva.,Relações profundas com critérios claros.,Postura íntegra e inspiradora.,Oração ou mantra com foco na integridade e limpeza dos desejos.
CA03,Moderação Sexual,"🌿 Moderação Sexual (há equilíbrio entre desejo, intenção e afeto)","Você vive a sexualidade com moderação e dignidade. Há harmonia entre corpo, alma e espírito.",Integração dos desejos à ética e ao afeto.,Relações amorosas plenas e respeitosas.,Amor-próprio e respeito mútuo nas conexões.,Presença ética e afetiva equilibrada.,Banho com ervas ou aromas puros como símbolo de elevação e refinamento vibracional.
CA02,Pureza Virtuosa,"💎 Pureza Virtuosa (há clareza, respeito e intenção elevada no uso da energia sexual)","Sua alma manifesta pureza. Há sexualidade virtuosa, com beleza, zelo e elevação.",Virtude expressa como devoção e respeito profundo.,Amor que cura e edifica.,Relações com base na pureza de intenção.,Postura digna que inspira pureza nos ambientes.,"Prática de bênção ao corpo: tocar o próprio corpo com respeito, como templo divino."
CA01,Castidade Angélica,"👼 Castidade Angélica (você sente pureza, autocontrole e sublimação do desejo em amor)",Você transcendeu o desejo carnal. Sua energia sexual se transmutou em amor sagrado.,Castidade elevada como expressão de luz espiritual.,Exemplo silencioso de nobreza e pureza.,Irradia pureza e equilíbrio nas relações.,Integra missão com pureza de intenção.,"Dedicar sua energia vital do dia a uma causa sagrada — sem dispersão, com foco total."
CO12,Autodestruição Sistemática,"⚠️ Autodestruição Sistemática (você se sabota repetidamente, mesmo sabendo as consequências)",Você pratica hábitos que ferem a si mesmo de maneira recorrente e sem limites.,Autossabotagem persistente e destrutiva.,Afasta-se dos vínculos por vergonha ou culpa.,Isolamento ou influência negativa constante.,Desempenho comprometido por hábitos autodestrutivos.,Escrever uma carta de perdão a si mesmo pelos excessos e queimá-la simbolicamente.
