CA02,"Sua alma manifesta pureza. Há sexualidade virtuosa, com beleza, zelo e elevação.",Virtude expressa como devoção e respeito profundo.
CA01,Você transcendeu o desejo carnal. Sua energia sexual se transmutou em amor sagrado.,Castidade elevada como expressão de luz espiritual.
CO12,Você pratica hábitos que ferem a si mesmo de maneira recorrente e sem limites.,Autossabotagem persistente e destrutiva.
CO11,"Você está dominado por impulsos fortes e repetitivos, com perda de controle.",Compulsão manifesta e entregas desgovernadas.
CO10,"Você mantém vícios que parecem funcionais, mas ocultam desequilíbrios profundos.",Dependência disfarçada de produtividade.
CO09,Você age sem freios. A busca pelo prazer imediato supera qualquer racionalidade.,Impulsividade crônica e ausência de contenção.
CO08,"Você busca se controlar, mas ainda se entrega com frequência aos seus desejos.",Oscilação entre indulgência e tentativa de controle.
CO07,"Você se permite algumas concessões, mas com algum nível de consciência.",Começo de domínio interno sobre os impulsos.
CO06,"Você está em uma fase de neutralidade, ainda sem excesso nem virtude.",Zona de equilíbrio instável e de aprendizado.
CO05,Você desenvolve práticas de autocontrole com frequência e responsabilidade.,Autodisciplina em crescimento.
CO04,"Você cultiva a moderação com sabedoria, sem repressão, mas com firmeza.",Autodomínio orientado por valores profundos.
CO03,Você possui domínio de si mesmo e conduz sua vida com espírito virtuoso.,Consciência plena sobre seus limites e necessidades.
CO02,Você transcende o desejo. Vive em estado de ascetismo espiritual equilibrado.,Renúncia voluntária ao supérfluo em nome da verdade.
CO01,"você vive com autocontrole profundo, canalizando desejos para propósitos elevados, Renúncia voluntária ao supérfluo em nome da verdade.
FI12,"Você renega os princípios que dizia defender, mudando conforme interesses.",Desalinhamento com valores internos e falsidade ideológica.
FI11,Você rompe compromissos importantes sem arrependimento ou justificativa honesta.,Perfídia: traição ativa de confiança íntima.
FI10,Você rompe laços de maneira estratégica. Usa o compromisso como moeda de troca.,Fidelidade como meio e não como valor.
FI09,Você não sustenta suas alianças e foge das consequências dos compromissos.,Conduta desleal com ações intencionais.
FI08,"Você não trai ativamente, mas deixa de cumprir promessas. A ausência pesa mais que ações.",Infidelidade por omissão e descuido.
FI07,Você evita se comprometer. Sua omissão gera ruptura silenciosa.,Negligência relacional e espiritual.
FI06,Você oscila entre estar presente e ausente. Sua fidelidade é incerta.,Insegurança emocional com instabilidade de entrega.
FI05,"Você não trai, mas também não se entrega profundamente. Cumpre o papel, mas sem alma.","Lealdade funcional, sem paixão nem inspiração."
FI04,"Você age por hábito. Sua fidelidade vem da rotina, não da consciência plena.",Constância sem presença plena.
FI03,Você é leal por escolha racional. Seu compromisso vem da lucidez e da ética.,Fidelidade ética com maturidade.
FI02,"Você é fiel de forma íntegra. Sua alma honra o que promete, com afeto e verdade.",Entrega espiritual por amor ao compromisso.
FI01,Sua fidelidade é devoção. Você se torna expressão de aliança sagrada.,Consagração da alma a um princípio ou missão de vida.
LO12,"Você vive em função dos próprios desejos, sem considerar os outros. Há fechamento e dureza.",Egocentrismo intenso com desprezo empático.
LO11,Você é o centro da própria história. Existe pouco ou nenhum espaço para o outro.,Incapacidade de considerar a perspectiva alheia.
LO10,"Você não apenas se ausenta emocionalmente, mas ativamente rejeita as emoções do outro.",Negação ativa do vínculo emocional.
LO09,"Você até espera, mas apenas por interesse próprio. Sua paciência é utilitária.",Tolerância baseada em conveniência.
LO08,Você tolera o outro de cima para baixo. Sua superioridade mina o vínculo.,Soberba disfarçada de paciência.
LO07,Sua tolerância tem cálculo. Você mede o que vale a pena suportar e o que não.,Interesse prático orienta sua paciência.
LO06,"Você não julga, mas também não se entrega. Sua relação é neutra e limitada.",Relacionamento sem entrega ou implicação emocional.
LO05,"Você compreende a dor do outro, mesmo que não possa resolvê-la.",Empatia em amadurecimento.
LO04,Você espera com amor. Suporta o tempo do outro com presença ativa.,Tolerância com base no respeito ao processo do outro.
LO03,"Você tolera não por obrigação, mas por compreensão profunda do processo do outro.",Tolerância como virtude ativa e consciente.
LO02,Você oferece indulgência. A alma compreende além das falhas.,Paciência iluminada pela compaixão profunda.
LO01,Sua alma suporta com ternura o peso do mundo. É presença constante e sagrada.,Longanimidade espiritual a serviço da luz.
MO12,"Você se vê como superior aos demais, com sensação de poder absoluto.",Desconexão com a realidade e com a igualdade espiritual.
MO11,"Você acredita ter um papel grandioso acima da medida, inflando sua própria importância.",Excesso de vaidade e desejo de dominação simbólica.
MO10,Você alimenta um ego funcional. Usa o sucesso como identidade.,Autovalorização baseada em desempenho externo.
MO09,Você se sente superior. Sua fala carrega julgamento sutil.,Exibição de virtudes com desejo de superioridade.
MO08,"Você se antecipa em se mostrar. Sabe o que tem, e quer que saibam também.",Busca de validação por aparência ou títulos.
MO07,"Você sente a necessidade de mostrar valor, mas com leveza. Ainda há ego operando.",Afirmação pessoal com toque de vaidade sutil.
MO06,"Você expressa autoconfiança de forma transparente, sem precisar se afirmar.",Segurança interior com expressão equilibrada.
MO05,Você reconhece seus limites e forças com honestidade. Está em um ponto de análise clara.,"Autoavaliação realista, sem exageros ou negações."
MO04,Você sabe quem é e não precisa provar. Sua força é silenciosa.,Autoconhecimento com consciência do próprio papel.
MO03,"Você se movimenta com elegância e discrição, com alma silenciosa.","Modéstia ativa, com sabedoria e refinamento."
MO02,"Sua modéstia é real. Você não apenas evita exaltar-se, como valoriza o outro com sinceridade.",Verdadeira humildade em expressão prática.
MO01,Você se esvazia do ego e se torna canal de algo maior. Sua humildade é luz sagrada.,Transcendência do eu inferior a serviço da verdade divina.
PC12,"Explosões internas te levam a agir contra si mesmo, com culpa e reatividade destrutiva.",Autopunição e raiva voltada para dentro.
PC11,Sua impaciência se manifesta de forma agressiva e controladora.,Busca de controle sobre o tempo e os outros.
PC10,Você tem dificuldade em aceitar diferenças ou limitações do outro.,Julgamento e resistência ao ritmo alheio.
PC09,"Você tenta conter sua irritação, mas ela vaza em olhares e posturas.",Pressão emocional prestes a emergir.
PC08,"Você controla sua impaciência, mas ainda sente desconforto interno.",Gestão parcial da reatividade.
PC07,"Você suporta o outro, mas sem prazer — há cansaço emocional acumulado.","Tolerância por esforço, não por amor."
PC06,"Você está em pausa: não há grande irritação, nem grande paciência.",Zona neutra emocional e funcional.
PC05,"Você começa a se adaptar com calma às situações, mesmo às adversas.",Resiliência emocional em desenvolvimento.
PC04,Você pratica a tolerância com leveza e presença.,Aceitação real do tempo das coisas.
PC03,Você se mantém firme mesmo diante da dor ou lentidão. Sua paciência é sagrada.,Paciência como virtude espiritual em prática.
PC02,"Você espera com serenidade, mesmo sem garantias de quando virá o fruto. Sua paciência honra o tempo divino.",Paciência moldada pela fé e sustentada por confiança superior.
PC01,Você abraça os ciclos com humildade. Sua paciência se tornou instrumento divino.,Consagração da paciência como estado de alma.
PA12,"Você está em estado de oposição ativa, confronto direto e declaratório com o mundo ao seu redor.",Colapso da harmonia interna e externa.
PA11,"Existe conflito intenso, mas sem declarações. Um embate silencioso e prolongado se instala.",Desgaste emocional por tensões não resolvidas.
PA10,"Momentos de violência verbal ou física pontual surgem, revelando descontrole emocional.",Explosões emocionais momentâneas.
PA09,"Crises interiores e externas se entrelaçam, gerando sensação de caos emocional.",Instabilidade geral e necessidade de reorganização interior.
PA08,"Há tensão interna que ainda não explodiu, mas é sentida em cada gesto.",Conflito incubado aguardando espaço para se manifestar.
PA07,"Você sente discórdia interna e externa, manifestando insatisfação frequente.",Desalinhamento entre desejos e realidade.
PA06,Seu campo está tensionado. Você sente os músculos e a mente em estado de alerta constante.,Ansiedade silenciosa e acúmulo de estresse.
PA05,"Você se encontra em um ponto neutro: sem guerra, sem paz. Apenas estabilidade momentânea.","Estado de pausa, mas sem restauração emocional."
PA04,"Você começa a atuar com diplomacia, buscando pontes em vez de muros.",Postura de conciliação consciente.
PA03,Você colabora com o outro de forma equilibrada. Há fluidez nos encontros e decisões.,Harmonia relacional e clareza de intenções.
PA02,Você sente tranquilidade mesmo em meio às pressões externas. Sua paz é cultivada.,Estabilidade emocional fundamentada.
PA01,Sua paz transcende o externo. Você a carrega como luz interna e irradiadora.,Estado de paz interior absoluta.
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
