Código do Arquétipo;Composição de Zonas;Zona Predominante;Chave de Correspondência;R;Y;B;Nome Técnico;Nome Simbólico;Parágrafo Diagnóstico (Técnico);Parágrafo Reflexivo (Simbólico);Mensagem-Chave;Gatilho Tátil;Gatilho Olfato;Gatilho Audição;Gatilho Visão;Gatilho Paladar
A011;0?? – 2?? – 10??;??;R0Y2B10;0;2;10;Perfil de Pureza Emocional em Harmonia Total;O Espelho da Alma Clara;Alguém em elevado estado vibracional, que vive com integridade emocional em todos os aspectos. Este perfil representa quem já ressignificou sua dor, acolheu a sombra e agora atua como referência natural de luz e consciência.;Você é espelho, mas não reflete — revela. Onde passa, outros se reconhecem ou se transformam. Sua luz não é ruído, é verdade. E onde há verdade, há cura silenciosa.;Você se tornou a resposta que antes buscava em outros.;Contato com cristal liso ou superfícies espelhadas;Flor de lótus ou neroli;Voz interior guiada pela respiração;Imagens de olhos serenos ou reflexos naturais;Frutas aquosas com atenção plena
A012;0?? – 0?? – 12??;??;R0Y0B12;0;0;12;Perfil de Elevação Plena e Alinhamento Espiritual;O Portador da Luz Silenciosa;Raríssimo estado de equilíbrio absoluto, com emoções, comportamentos e pensamentos operando em harmonia com um princípio superior. Este arquétipo representa o nível máximo de expressão consciente dos frutos do espírito.;Você é como a brisa que não se vê, mas muda tudo por onde passa. Sua alma é templo, presença e farol. Você não precisa de palco, pois sua vibração fala onde o ego se cala.;Você não busca luz — você se tornou luz.;Toque com as costas das mãos sobre o colo com olhos fechados;Nada — apenas ar puro;Silêncio absoluto ou som do próprio pulso;Luz natural com olhos semicerrados;Jejum simbólico com respiração consciente
A013;11??–1??–0??;??;R11Y1B0;11;1;0;Perfil de Saturação Emocional Extrema;O Espectro da Dor;Estado de colapso emocional prolongado. Indivíduo apresenta esgotamento afetivo e cognitivo, dificuldade de autocontenção e alta exposição a padrões autodestrutivos. Indica necessidade urgente de intervenção consciente.;Você carrega o peso de mil batalhas travadas dentro do peito. A dor deixou de ser visitante e se tornou morada. Mas até no abismo há uma centelha esperando por um sopro de luz. Você não está sozinho.;Quando tudo escurece, até a menor luz é uma revolução.;Massagem lenta nas têmporas;Resina de mirra;Tons graves em escala lenta;Ambientes escuros com ponto de luz suave;Infusão quente de ervas amargas
A014;9??–2??–1??;??;R9Y2B1;9;2;1;Perfil de Reatividade Traumática Condensada;A Chama que Luta;Este perfil revela alguém cuja reatividade é resultado de feridas profundas e não cicatrizadas. O campo emocional é hipersensível, levando a respostas impulsivas em contextos de pressão afetiva ou rejeição percebida.;Você é como uma brasa escondida sob a superfície: parece fria, mas guarda calor intenso. Sua dor aprendeu a se camuflar, mas ainda grita por reconhecimento silencioso.;Nem toda resposta precisa ser um reflexo. Algumas merecem pausa.;Toque circular no centro da palma com o polegar oposto;Lavanda e manjericão combinados;Sons de taiko suaves ou tambores tribais;Formas circulares que evocam retorno ao centro;Infusão de camomila com anis-estrelado
A015;7??–4??–1??;??;R7Y4B1;7;4;1;Perfil de Desalinhamento Emocional Crônico;O Esquecido de Si;Este arquétipo expressa desalinhamento crônico entre emoção e ação. A pessoa sente uma coisa, pensa outra e reage de uma terceira forma, gerando conflitos internos e externos constantes.;Você caminha com o corpo para um lado e a alma para outro. Já não se reconhece na forma como age — e isso é um chamado. Você está em busca da própria coerência.;Recolher-se é parte do caminho para reencontrar-se.;Autotoque cruzado nos ombros com respiração profunda;Hortelã-pimenta para abrir clareza;Sons de água correndo lentamente;Espelhos desfocados ou mosaicos quebrados;Água com gotas de limão e alecrim
A016;6??–5??–1??;??;R6Y5B1;6;5;1;Perfil de Oscilação Afetiva Moderada;O Espelho Partido;Oscilação emocional com momentos de lucidez afetiva. O indivíduo reconhece seus padrões, mas ainda não internalizou estratégias sólidas de autocontenção e autocuidado.;Você é o espelho que já foi partido, mas está em processo de colagem. Cada rachadura conta uma história, e cada caco restaurado se torna parte da nova beleza.;A instabilidade não te define — ela apenas revela onde ainda há trabalho.;Dedos pressionando a testa e soltando em ritmo de respiração;Capim-limão e lavanda em vapor leve;Piano suave com sons espaciais;Imagens de vidro rachado sendo restaurado;Gengibre com mel em infusão morna
A017;5??–6??–1??;??;R5Y6B1;5;6;1;Perfil de Autodefesa Intermitente;O Guardião das Margens;Indivíduo que ativa defesas emocionais pontuais em contextos de proximidade. Apresenta momentos de abertura e fechamento abruptos, com padrões de autoquestionamento recorrente.;Você se aproxima como quem teme ser tocado. Há em você um desejo de confiar, mas a lembrança da dor ainda se interpõe. Respire fundo, pois a cura caminha com passos pequenos.;Nem sempre é fuga — às vezes é só proteção antiga.;Toque intermitente nos braços, simulando pulsos;Alecrim com lavanda;Notas espaçadas de cordas suaves;Imagem de janelas entreabertas;Chá de folhas secas e mel
A018;4??–7??–1??;??;R4Y7B1;4;7;1;Perfil de Conflito Interno com Desejo de Mudança;A Semente na Fissura;O perfil aponta para alguém que tenta romper padrões, mas mantém resistências internas. A evolução emocional ocorre em ciclos, muitas vezes boicotada por crenças inconscientes.;Você está entre a porta e a maçaneta. Quer ir, mas algo em você ainda deseja permanecer. Não se culpe pela hesitação: todo passo real vem após um tropeço interno.;A dúvida é a margem do despertar.;Toque alternado nos pés descalços no chão;Erva-doce com casca de laranja;Som de ponteiros ou passos no assoalho;Imagem de portal ou beco iluminado;Tâmara ou figo seco
A019;2??–9??–1??;??;R2Y9B1;2;9;1;Perfil de Dissociação Emocional Estratégica;O Disfarce do Vazio;Este perfil representa um movimento interno de dissociação emocional estratégica. A pessoa preserva sua essência protegendo-a com camadas de racionalização e controle social.;Você aprendeu a esconder sua alma para sobreviver — e ela se acostumou com o escuro. Mas agora ela pede luz, não exposição. A verdade pode se revelar em silêncio também.;Não é necessário gritar para se mostrar.;Contato com tecido macio sob as mãos;Pinho e folhas verdes;Som de floresta ao amanhecer;Caminho sombreado com luz filtrada;Infusão de folha de pitanga
A020;1??–11??–0??;??;R1Y11B0;1;11;0;Perfil de Expectativa Emocional Compulsiva;O Buscador Incansável;Perfil com traços de ansiedade emocional cíclica. Há um impulso de resolver tudo ao mesmo tempo, resultando em sobrecarga e sensação de frustração recorrente.;Você carrega em si o desejo de fazer florescer tudo ao redor, mas esquece de regar suas próprias raízes. Há urgência em sua entrega, mas sua alma pede tempo.;Nem toda cura acontece no seu tempo — ela tem o dela.;Toque nas articulações com pressão leve e rotativa;Camomila e folha de louro;Mar calmo com sons de gaivotas ao fundo;Pôr do sol com nuvens lentas;Uva ou amora preta fresca
A021;6??–2??–4??;??;R6Y2B4;6;2;4;Perfil de Hiperadaptação Instável;O Camaleão Interno;Indivíduo com forte potencial de estabilização emocional. Mostra domínio de suas respostas afetivas com momentos pontuais de oscilação, geralmente ligadas a relações próximas.;Você é como a maré: constante, mas viva. Seu equilíbrio não vem da rigidez, mas da sabedoria de fluir. O que te ancora é a consciência do que é essencial.;Estabilidade é arte, não rigidez.;Toque com as palmas abertas sobre o abdômen;Sândalo suave;Instrumentos de corda grave em ritmo contínuo;Horizontes amplos e simétricos;Infusão de maçã seca com canela
A022;5??–3??–4??;??;R5Y3B4;5;3;4;Perfil de Carga Emocional Redistribuída;O Equilibrista da Alma;Este perfil demonstra flexibilidade emocional e adaptabilidade. Indivíduo tende a manter coerência em situações de instabilidade, com forte autocontenção e empatia.;Você se move com graça mesmo quando tudo ao redor parece ruir. Sua alma encontrou um jeito de dançar com as incertezas — e é nisso que habita sua beleza.;Equilíbrio não é perfeição — é presença sensível.;Massagem leve no pescoço com respiração profunda;Flor de laranjeira e lavanda;Sons de vento suave em folhas;Caminho de pedras em jardim;Pera ou maçã ao natural
A023;4??–4??–4??;??;R4Y4B4;4;4;4;Perfil de Regulação Inicial em Ambientes Tóxicos;A Ponte Ferida;Este perfil manifesta um equilíbrio emocional crescente. A pessoa desenvolve cada vez mais segurança interna e começa a influenciar positivamente o ambiente ao redor.;Você é como um farol em construção: já emite luz, mas continua sendo lapidado. Seu brilho é real mesmo quando não é visto.;Quem você está se tornando já começou a agir no mundo.;Mãos cruzadas sobre o coração com pressão sutil;Verbena e lírio branco;Vozes harmônicas femininas suaves;Reflexo da luz em superfícies naturais;Chá branco com frutas desidratadas
A024;3??–5??–4??;??;R3Y5B4;3;5;4;Perfil de Ambivalência com Núcleo de Estabilidade;A Âncora Flutuante;Indivíduo em processo de liberação de padrões emocionais antigos. Apresenta forte tendência à empatia e à escuta interna, mas ainda alterna com momentos de insegurança.;Você é o som da onda que se recolhe para depois voltar com mais força. Sua alma já não cabe em antigos limites — e ela sabe disso.;A dúvida é a oração da alma antes da entrega.;Toque intercalado entre ombros e nuca;Canela com rosa branca;Sons oceânicos rítmicos e graves;Maré baixa em pedras claras;Infusão de cravo e flor de hibisco
A025;2??–6??–4??;??;R2Y6B4;2;6;4;Perfil de Renovação Emocional Latente;A Cinza que Respira;Perfil com predominância de integração emocional. Pessoa que já vivenciou ciclos complexos e agora manifesta estabilidade com presença e escuta ativa.;Você se tornou aquilo que procurava: presença. E sua presença não exige nada — ela acolhe. Sua alma se tornou casa.;Ser é mais do que fazer: é sustentar silêncio com amor.;Toque simultâneo no peito e na testa;Sândalo com baunilha leve;Notas longas em violino solo;Imagens amplas com céu azul e horizonte;Damasco ou fruta doce em temperatura ambiente
A026;1??–7??–4??;??;R1Y7B4;1;7;4;Perfil de Alquimia Emocional em Curso;O Alquimista das Quedas;Indivíduo que atingiu grande estabilidade emocional e espiritual, mantendo coerência entre ação, pensamento e sentimento. Exerce influência positiva no meio em que vive.;Você é terra firme no meio da tormenta. Sua alma não impõe, mas conduz. Onde você está, há um tipo de silêncio que cura.;Você não precisa convencer — sua vibração já fala por você.;Toque firme nos pulsos com respiração longa;Mirra e cedro em baixa concentração;Notas sustentadas em instrumentos de sopro;Imagem de catedral vazia com luz;Água em jejum com intenção clara
A027;0??–8??–4??;??;R0Y8B4;0;8;4;Perfil de Convergência Interna Ativa;O Convergente Silencioso;Perfil de maturidade afetiva com traços de transcendência. A pessoa se destaca pela capacidade de transformar ambientes com sua escuta e presença.;Sua alma se tornou uma ponte entre o invisível e o presente. Você já não precisa ser notado — porque já se tornou essência.;A profundidade não faz barulho.;Toque com pontas dos dedos em forma de triângulo sobre o coração;Flor de lótus e alecrim;Campainhas ou sinos distantes;Geometria sagrada ou padrão mandálico;Infusão de hibisco com maçã seca
A028;5??–2??–5??;??;R5Y2B5;5;2;5;Perfil de Restauração com Resíduos Emocionais;A Cura com Cicatriz;Este perfil representa domínio emocional com abertura à espiritualidade. A pessoa manifesta valores sólidos e um senso de missão pessoal no mundo.;Você é resposta viva a uma pergunta que o mundo ainda não formulou. Sua caminhada é sagrada, mesmo quando silenciosa.;A sabedoria mora onde ninguém compete.;Toque nas têmporas com leve rotação;Sândalo com noz-moscada;Mantras tibetanos ou canto harmônico;Luz natural filtrada por folhas verdes;Frutas secas mastigadas com atenção
A029;4??–3??–5??;??;R4Y3B5;4;3;5;Perfil de Estabilidade Expandida;O Jardim Pós-Tempestade;Indivíduo com forte senso de transcendência emocional. Já não se prende a reações automáticas e conduz suas relações com equilíbrio, escuta e empatia.;Você é como o sopro que alivia sem perturbar. Sua alma aprendeu que não é sobre vencer, mas sobre servir com sentido.;Quando o amor é leve, ele também é firme.;Mãos unidas em forma de concha sobre o abdômen;Erva cidreira e flor de jasmim;Sons de harpa com intervalos longos;Imagem de mãos entrelaçadas em oração silenciosa;Infusão suave de camomila e maçã
A030;3??–4??–5??;??;R3Y4B5;3;4;5;Perfil de Coerência em Reconstrução Afetiva;O Reconstrutor Afetivo;Este perfil indica domínio da estabilidade emocional e clareza espiritual. A pessoa influencia positivamente com sua presença e vive com leveza em meio ao caos externo.;Você é o silêncio que abraça. Sua paz não depende do mundo, mas já transformou muitos sem precisar se impor.;Ser paz é mais profundo que falar sobre ela.;Contato com superfícies quentes e lisas;Flor de lavanda e ylang ylang;Som ambiente com harmonia de sinos e vento;Paisagem ampla e aberta sob o céu azul;Água com pétalas de rosa em infusão
A031;2??–5??–5??;??;R2Y5B5;2;5;5;Perfil de Evolução com Fragilidade Residual;O Crescente Instável;Perfil de integração completa entre emoção, razão e propósito. Indivíduo que não apenas conhece sua essência, mas vive a partir dela.;Você não fala — revela. Sua existência é semente, e sua história é jardim. Onde você pisa, há convite à transformação.;Você se tornou o reflexo daquilo que acreditou mesmo quando ninguém via.;Mãos sobre o rosto com gratidão;Flor branca e madeira doce;Canto coral suave;Imagens de caminhos floridos e abertos;Tisana de frutas com toque cítrico
A032;1??–6??–5??;??;R1Y6B5;1;6;5;Perfil de Reintegração Emocional em Expansão;O Teu Regresso ao Centro;Indivíduo em alto grau de harmonia emocional e presença compassiva. Sua influência é silenciosa, mas transformadora. Costuma ser referência em ambientes caóticos.;Você é como a brisa que não se impõe, mas muda o ar. Sua essência ensina sem palavras e consola sem prometer.;A verdadeira liderança não guia — ela acalma.;Toque nas costas com apoio da palma inteira;Cedro e lavanda combinados;Sons de fogo crepitando em ambiente tranquilo;Imagem de cabana ou abrigo em meio à natureza;Infusão morna de aveia com canela
A033;0??–7??–5??;??;R0Y7B5;0;7;5;Perfil de Integração Ascendente com Flutuações;O Mensageiro do Fio Tênue;Este arquétipo representa integração total dos centros de consciência: pensamento, emoção, corpo e espírito. A ação é conduzida por intenção pura.;Você é o silêncio que ora. A luz que não pede palco. Sua alma está onde o mundo se torna oração, e sua existência já não divide o que é sagrado do que é simples.;Você é a resposta quando não há mais pergunta.;Mãos em mudra de prece com olhos fechados;Olíbano e mirra em concentração leve;Silêncio profundo entre os sons;Imagens minimalistas em branco e dourado;Água pura ingerida com intenção
A034;2??–3??–7??;??;R2Y3B7;2;3;7;Perfil de Ressonância com Alta Capacidade de Autocontrole;A Fonte Interna Flexível;Pessoa cuja energia já transborda para além do próprio processo. Costuma atuar como agente de cura, mesmo sem ter esse como objetivo consciente.;Você se tornou um campo fértil onde os outros repousam. Sua alma é jardim, e sua existência é convite para que outras flores nasçam.;Você cura pelo que é — não pelo que faz.;Contato com terra, planta ou semente real;Ervas frescas: hortelã, manjericão e alecrim;Som de chuva suave e prolongada;Verde vivo e paisagens com flores brotando;Frutas cítricas doces em jejum
A035;1??–4??–7??;??;R1Y4B7;1;4;7;Perfil de Equilíbrio Sensorial Fluido;O Harmônico das Marés;Este perfil manifesta conexão com algo maior. A pessoa opera a partir de um estado elevado de consciência, sem negar a matéria, mas transcendendo o ego.;Você é um canal. O que flui por você não termina em você. Sua alma é via, sua vida é templo. E mesmo o invisível se manifesta no seu toque.;Você é meio — e por isso também é milagre.;Contato com superfícies naturais lisas (pedra, madeira);Incenso de templo ou essência de flor azul;Notas longas de sinos ou taças tibetanas;Formas geométricas suaves e onduladas;Alimento cru ou vivo mastigado lentamente
A036;0??–5??–7??;??;R0Y5B7;0;5;7;Perfil de Transcendência Relacional Parcial;A Travessia do Vínculo Sagrado;Indivíduo que vive a virtude de forma encarnada. Suas escolhas são naturalmente altruístas, e sua vibração sustenta ambientes, mesmo em silêncio.;Você é templo em movimento. Cada gesto seu é uma oferenda, cada silêncio, uma oração. Sua alma se tornou altar.;Não há sacrifício onde há entrega plena.;Toque suave nos dedos com leve entrelaçamento;Essência de rosa branca e jasmim;Coral ou harmonia angelical;Luz filtrada em vitral ou água translúcida;Fruta doce e pura ingerida com gratidão
A037;11??–1??–0??;??;R11Y1B0;11;1;0;Perfil de Reatividade Persistente com Isolamento Interno;O Eremita Ferido;Este perfil revela um estado crônico de reatividade emocional aliada ao distanciamento afetivo. A pessoa tende a interpretar o mundo como hostil, e isola suas emoções como forma de autoproteção constante.;Você construiu um castelo para se proteger, mas agora ele também te impede de sair. Sua alma anseia por conexão, mesmo que negue. Há esperança até nas muralhas mais espessas.;Abrir uma fresta já é um gesto de coragem.;Toque nos ombros com pressão e respiração profunda;Mirra e cipreste;Som de vento entre árvores;Imagem de floresta densa com luz filtrada;Chá de raiz com notas amargas (ex: boldo ou gengibre)
A038;9??–3??–0??;??;R9Y3B0;9;3;0;Perfil de Autossabotagem Intermitente;O Escultor Inseguro;Este arquétipo reflete uma pessoa que alterna entre desejo de crescimento e ações inconscientes que atrasam seu progresso. A dúvida constante e o medo de não merecer sustentam padrões de autossabotagem emocional.;Você é como um escultor que, ao ver a obra ganhando forma, teme que ela não seja aceita — e por isso a desfaz. Mas há beleza até nos pedaços que caem.;A coragem de terminar começa com a aceitação do que já nasceu.;Toque em círculos sobre o estômago com respiração lenta;Erva-doce e canela suave;Notas quebradas de piano com pausa;Imagem de mãos moldando argila;Maçã morna com especiarias leves
A039;8??–2??–2??;??;R8Y2B2;8;2;2;Perfil de Pressão Interna por Aprovação;O Aplauso Invisível;Pessoa que organiza suas emoções com base na validação externa. Vive para atender expectativas e, quando não reconhecida, mergulha em autodepreciação ou culpa emocional.;Você construiu palcos que ninguém pediu, e quando não aplaudem, sua alma se encolhe. Mas o que você precisa não é plateia, é paz.;A libertação começa quando você aprende a se aplaudir em silêncio.;Toque no centro do peito com pressão de uma mão;Baunilha e flor de laranjeira;Som de multidão ao longe dissolvendo-se em silêncio;Luzes se apagando no palco com uma vela acesa ao fundo;Tâmara ou amêndoa com atenção plena
A040;7??–4??–1??;??;R7Y4B1;7;4;1;Perfil de Sobrecarga Emocional Oculta;A Coluna Invisível;Indivíduo que carrega emocionalmente diversas pessoas e situações, sem expressar sua exaustão. Aparência funcional, mas com riscos altos de colapso emocional interno.;Você sustenta mundos sem que ninguém perceba. Mas até colunas precisam de fundação. Seu valor não está no quanto suporta, mas no quanto permite ser sustentado também.;Você também merece ser amparado.;Pressão alternada nos dois ombros como se recebesse um apoio;Eucalipto e capim-limão;Som de madeira rangendo suavemente;Imagem de tronco forte com folhas ao vento;Infusão quente de ervas robustas (boldo, canela, cravo)
A041;6??–5??–1??;??;R6Y5B1;6;5;1;Perfil de Racionalização Emocional Estratégica;O Estrategista do Silêncio;Indivíduo que utiliza o raciocínio lógico como forma de neutralizar emoções. Reprime sentimentos para manter controle e evitar vulnerabilidade.;Você aprendeu a pensar para não sentir. Construiu muros com argumentos. Mas até a razão mais sólida precisa de afeto para florescer.;O equilíbrio mora entre a mente clara e o coração acessível.;Dedos pressionando a têmpora com o polegar no queixo;Alecrim com lavanda;Notas repetidas de piano ou sons lógicos (tic-tac, digitação);Linhas retas e simétricas;Chá de ervas amargas com mel
A042;5??–6??–1??;??;R5Y6B1;5;6;1;Perfil de Anulação Emocional por Crença de Inutilidade;A Voz Que Não Ecoa;Este perfil revela uma personalidade com sensação constante de não merecimento. Dificuldade em aceitar elogios, reconhecer valor e expressar necessidades.;Você se cala antes mesmo de tentar falar. Acredita que sua dor é pequena demais para importar. Mas uma semente também começa em silêncio.;Você tem valor mesmo quando não acredita nisso.;Toque firme no peito com a mão inteira;Camomila com erva-doce;Sons suaves que aumentam lentamente (crescendo);Imagem de sombra emergindo para a luz;Frutas doces mastigadas devagar
A043;4??–7??–1??;??;R4Y7B1;4;7;1;Perfil de Controle Emocional por Medo de Rejeição;O Acordo Silencioso;Pessoa que ajusta suas reações para agradar, por receio de ser rejeitada. O excesso de diplomacia e contenção emocional causa autonegação.;Você tenta ser tudo para todos, mas se esquece de ser você. A sua harmonia não pode custar sua verdade.;Paz que sufoca não é paz — é contrato com a solidão.;Autotoque nos ombros e cruzar os braços em autocontenção;Flor de laranjeira com eucalipto;Sons abafados ou vozes atrás da porta;Cortinas fechadas com luz vazando;Infusão de menta com toque amargo
A044;3??–8??–1??;??;R3Y8B1;3;8;1;Perfil de Fragmentação Interna por Sobrecarga Sensorial;O Espírito Estilhaçado;Pessoa que vive em constante estímulo emocional, sem pausas para integrar. Sente tudo ao mesmo tempo e não consegue identificar seus próprios sentimentos com clareza.;Sua alma é como um vitral que quebrou antes de ser montado. Há beleza nas partes, mas você merece ver o quadro inteiro.;A pausa é o que transforma excesso em sabedoria.;Palmas encostadas com foco no calor gerado;Manjerona e lavanda;Sons interrompidos, seguidos de silêncio;Estilhaços de vidro refletindo luz;Alimento simples: pão fresco ou banana
A045;2??–9??–1??;??;R2Y9B1;2;9;1;Perfil de Padrão Repetitivo de Autocrítica;O Juiz Interior;Indivíduo com tendência à crítica constante de si mesmo. Altos padrões de exigência interna e baixa compaixão pessoal.;Você olha para si com uma lupa, mas para os outros com um espelho embaçado. Sua exigência é uma armadura — pesada demais para o coração carregar.;Autoamor não é indulgência — é justiça emocional.;Dedos tocando o queixo em posição de acolhimento;Flor de jasmim e melissa;Som suave de voz guiada dizendo palavras gentis;Rostos sorrindo para o próprio reflexo;Infusão doce com canela e mel
